week_start,week_end,region,org_id,product_id,units,list_price_cny,discount_rate,unit_price_cny,revenue_cny,target_revenue_cny,visits,demos,trials,conversions,returns,channel
2026-07-06,2026-07-12,西部,NM-H016,NMX-02,1,98000,0.12,86200,86200,39000,3,1,1,1,0,合作伙伴
2026-07-13,2026-07-19,华东,NM-H001,NMX-01,1,240000,0.08,220800,220800,161000,4,2,2,1,0,直销
2026-07-13,2026-07-19,华东,NM-H001,NMX-02,1,98000,0.07,91100,91100,105000,6,1,1,1,0,直销
2026-07-13,2026-07-19,华东,NM-H002,NMX-01,1,240000,0.08,220800,220800,161000,4,3,1,1,0,直销
2026-07-13,2026-07-19,华东,NM-H002,NMX-02,1,98000,0.06,92100,92100,105000,4,2,1,1,0,直销
2026-07-13,2026-07-19,华东,NM-H003,NMX-01,1,240000,0.09,218400,218400,132000,3,3,3,1,0,直销
2026-07-13,2026-07-19,华东,NM-H003,NMX-02,1,98000,0.1,88200,88200,85000,3,3,1,1,0,直销
2026-07-13,2026-07-19,华东,NM-H004,NMX-01,0,240000,0.1,216000,0,132000,4,2,1,0,0,直销
2026-07-13,2026-07-19,华东,NM-H004,NMX-02,1,98000,0.1,88200,88200,85000,4,2,2,1,0,直销
2026-07-13,2026-07-19,华北,NM-H005,NMX-01,1,240000,0.08,220800,220800,138000,4,3,2,1,0,直销
2026-07-13,2026-07-19,华北,NM-H005,NMX-02,1,98000,0.08,90200,90200,89000,6,4,3,1,0,直销
2026-07-13,2026-07-19,华北,NM-H006,NMX-01,0,240000,0.08,220800,0,138000,3,3,2,0,0,直销
2026-07-13,2026-07-19,华北,NM-H006,NMX-02,1,98000,0.07,91100,91100,89000,5,4,2,1,0,直销
2026-07-13,2026-07-19,华北,NM-H007,NMX-01,1,240000,0.11,213600,213600,112000,4,2,1,1,0,直销
2026-07-13,2026-07-19,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,73000,4,3,3,1,0,直销
2026-07-13,2026-07-19,华北,NM-H008,NMX-01,1,240000,0.12,211200,211200,89000,2,2,2,1,0,合作伙伴
2026-07-13,2026-07-19,华北,NM-H008,NMX-02,0,98000,0.1,88200,0,58000,5,2,2,0,0,合作伙伴
2026-07-13,2026-07-19,华南,NM-H009,NMX-01,1,240000,0.08,220800,220800,124000,3,3,2,1,0,直销
2026-07-13,2026-07-19,华南,NM-H009,NMX-02,1,98000,0.07,91100,91100,81000,4,2,2,1,0,直销
2026-07-13,2026-07-19,华南,NM-H010,NMX-01,0,240000,0.08,220800,0,124000,5,2,2,0,0,直销
2026-07-13,2026-07-19,华南,NM-H010,NMX-02,1,98000,0.08,90200,90200,81000,3,3,3,1,0,直销
2026-07-13,2026-07-19,华南,NM-H011,NMX-01,1,240000,0.1,216000,216000,102000,3,3,3,1,0,直销
2026-07-13,2026-07-19,华南,NM-H011,NMX-02,1,98000,0.09,89200,89200,66000,3,3,3,1,0,直销
2026-07-13,2026-07-19,华南,NM-H012,NMX-01,0,240000,0.13,208800,0,81000,2,0,0,0,0,直销
2026-07-13,2026-07-19,华南,NM-H012,NMX-02,0,98000,0.1,88200,0,52000,4,1,1,0,0,合作伙伴
2026-07-13,2026-07-19,西部,NM-H013,NMX-01,0,240000,0.1,216000,0,78000,2,0,0,0,0,直销
2026-07-13,2026-07-19,西部,NM-H013,NMX-02,1,98000,0.07,91100,91100,65000,4,1,1,1,0,合作伙伴
2026-07-13,2026-07-19,西部,NM-H014,NMX-01,0,240000,0.11,213600,0,64000,2,2,1,0,0,合作伙伴
2026-07-13,2026-07-19,西部,NM-H014,NMX-02,0,98000,0.1,88200,0,53000,4,1,1,0,0,直销
2026-07-13,2026-07-19,西部,NM-H015,NMX-01,0,240000,0.11,213600,0,64000,4,0,0,0,0,合作伙伴
2026-07-13,2026-07-19,西部,NM-H015,NMX-02,1,98000,0.09,89200,89200,53000,4,3,1,1,0,直销
2026-07-13,2026-07-19,西部,NM-H016,NMX-01,0,240000,0.13,208800,0,51000,4,2,1,0,0,合作伙伴
2026-07-13,2026-07-19,西部,NM-H016,NMX-02,0,98000,0.11,87200,0,42000,3,3,2,0,0,直销
2026-07-20,2026-07-26,华东,NM-H001,NMX-01,1,240000,0.09,218400,218400,172000,5,2,1,1,0,直销
2026-07-20,2026-07-26,华东,NM-H001,NMX-02,2,98000,0.07,91100,182200,112000,5,3,3,1,0,直销
2026-07-20,2026-07-26,华东,NM-H002,NMX-01,1,240000,0.09,218400,218400,172000,3,3,3,1,0,直销
2026-07-20,2026-07-26,华东,NM-H002,NMX-02,1,98000,0.06,92100,92100,112000,5,4,3,1,0,直销
2026-07-20,2026-07-26,华东,NM-H003,NMX-01,1,240000,0.1,216000,216000,141000,5,4,3,1,0,直销
2026-07-20,2026-07-26,华东,NM-H003,NMX-02,1,98000,0.09,89200,89200,91000,5,4,3,1,0,直销
2026-07-20,2026-07-26,华东,NM-H004,NMX-01,0,240000,0.1,216000,0,141000,3,2,1,0,0,直销
2026-07-20,2026-07-26,华东,NM-H004,NMX-02,1,98000,0.1,88200,88200,91000,4,4,2,1,0,直销
2026-07-20,2026-07-26,华北,NM-H005,NMX-01,0,240000,0.08,220800,0,147000,4,1,0,0,0,直销
2026-07-20,2026-07-26,华北,NM-H005,NMX-02,1,98000,0.06,92100,92100,95000,5,3,3,1,0,直销
2026-07-20,2026-07-26,华北,NM-H006,NMX-01,1,240000,0.08,220800,220800,147000,4,4,3,1,0,直销
2026-07-20,2026-07-26,华北,NM-H006,NMX-02,1,98000,0.08,90200,90200,95000,5,3,3,1,0,直销
2026-07-20,2026-07-26,华北,NM-H007,NMX-01,1,240000,0.1,216000,216000,120000,3,2,2,1,0,直销
2026-07-20,2026-07-26,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,78000,3,2,1,1,0,直销
2026-07-20,2026-07-26,华北,NM-H008,NMX-01,1,240000,0.13,208800,208800,96000,3,2,2,1,0,合作伙伴
2026-07-20,2026-07-26,华北,NM-H008,NMX-02,1,98000,0.1,88200,88200,62000,5,1,1,1,0,合作伙伴
2026-07-20,2026-07-26,华南,NM-H009,NMX-01,0,240000,0.07,223200,0,133000,4,2,2,0,0,直销
2026-07-20,2026-07-26,华南,NM-H009,NMX-02,1,98000,0.08,90200,90200,86000,3,2,1,1,0,直销
2026-07-20,2026-07-26,华南,NM-H010,NMX-01,1,240000,0.08,220800,220800,133000,5,2,2,1,0,直销
2026-07-20,2026-07-26,华南,NM-H010,NMX-02,1,98000,0.07,91100,91100,86000,5,2,1,1,0,直销
2026-07-20,2026-07-26,华南,NM-H011,NMX-01,1,240000,0.1,216000,216000,108000,4,2,1,1,0,直销
2026-07-20,2026-07-26,华南,NM-H011,NMX-02,1,98000,0.1,88200,88200,70000,3,1,1,1,0,直销
2026-07-20,2026-07-26,华南,NM-H012,NMX-01,0,240000,0.11,213600,0,86000,2,2,2,0,0,合作伙伴
2026-07-20,2026-07-26,华南,NM-H012,NMX-02,1,98000,0.12,86200,86200,56000,5,2,1,1,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H013,NMX-01,0,240000,0.1,216000,0,84000,2,2,2,0,0,直销
2026-07-20,2026-07-26,西部,NM-H013,NMX-02,1,98000,0.09,89200,89200,70000,3,3,1,1,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H014,NMX-01,0,240000,0.12,211200,0,68000,4,3,1,0,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H014,NMX-02,1,98000,0.11,87200,87200,57000,5,5,3,1,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H015,NMX-01,0,240000,0.12,211200,0,68000,4,1,1,0,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H015,NMX-02,0,98000,0.11,87200,0,57000,3,3,2,0,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H016,NMX-01,0,240000,0.13,208800,0,54000,3,1,1,0,0,合作伙伴
2026-07-20,2026-07-26,西部,NM-H016,NMX-02,1,98000,0.13,85300,85300,45000,3,3,3,1,0,直销
2026-07-27,2026-08-02,华东,NM-H001,NMX-01,1,240000,0.09,218400,218400,183000,3,2,2,1,0,直销
2026-07-27,2026-08-02,华东,NM-H001,NMX-02,2,98000,0.07,91100,182200,119000,5,5,3,1,0,直销
2026-07-27,2026-08-02,华东,NM-H002,NMX-01,1,240000,0.08,220800,220800,183000,5,3,1,1,0,直销
2026-07-27,2026-08-02,华东,NM-H002,NMX-02,1,98000,0.07,91100,91100,119000,4,1,1,1,0,直销
2026-07-27,2026-08-02,华东,NM-H003,NMX-01,0,240000,0.09,218400,0,150000,5,1,1,0,0,直销
2026-07-27,2026-08-02,华东,NM-H003,NMX-02,1,98000,0.1,88200,88200,97000,6,4,3,1,0,直销
2026-07-27,2026-08-02,华东,NM-H004,NMX-01,0,240000,0.09,218400,0,150000,4,2,2,0,0,直销
2026-07-27,2026-08-02,华东,NM-H004,NMX-02,1,98000,0.09,89200,89200,97000,4,4,3,1,0,直销
2026-07-27,2026-08-02,华北,NM-H005,NMX-01,1,240000,0.09,218400,218400,156000,3,3,2,1,0,直销
2026-07-27,2026-08-02,华北,NM-H005,NMX-02,1,98000,0.08,90200,90200,101000,5,2,1,1,0,直销
2026-07-27,2026-08-02,华北,NM-H006,NMX-01,1,240000,0.08,220800,220800,156000,5,1,1,1,0,直销
2026-07-27,2026-08-02,华北,NM-H006,NMX-02,1,98000,0.07,91100,91100,101000,5,3,1,1,0,直销
2026-07-27,2026-08-02,华北,NM-H007,NMX-01,0,240000,0.1,216000,0,128000,5,3,2,0,0,直销
2026-07-27,2026-08-02,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,83000,5,5,3,1,0,直销
2026-07-27,2026-08-02,华北,NM-H008,NMX-01,0,240000,0.11,213600,0,102000,2,2,2,0,0,合作伙伴
2026-07-27,2026-08-02,华北,NM-H008,NMX-02,1,98000,0.1,88200,88200,66000,5,3,3,1,0,合作伙伴
2026-07-27,2026-08-02,华南,NM-H009,NMX-01,1,240000,0.08,220800,220800,141000,4,1,1,1,0,直销
2026-07-27,2026-08-02,华南,NM-H009,NMX-02,1,98000,0.06,92100,92100,92000,4,3,1,1,0,直销
2026-07-27,2026-08-02,华南,NM-H010,NMX-01,1,240000,0.09,218400,218400,141000,4,3,2,1,0,直销
2026-07-27,2026-08-02,华南,NM-H010,NMX-02,1,98000,0.06,92100,92100,92000,5,4,2,1,0,直销
2026-07-27,2026-08-02,华南,NM-H011,NMX-01,0,240000,0.09,218400,0,115000,4,3,2,0,0,直销
2026-07-27,2026-08-02,华南,NM-H011,NMX-02,1,98000,0.08,90200,90200,75000,5,3,2,1,0,直销
2026-07-27,2026-08-02,华南,NM-H012,NMX-01,1,240000,0.11,213600,213600,92000,4,1,1,1,0,直销
2026-07-27,2026-08-02,华南,NM-H012,NMX-02,0,98000,0.1,88200,0,59000,4,2,2,0,0,合作伙伴
2026-07-27,2026-08-02,西部,NM-H013,NMX-01,0,240000,0.09,218400,0,89000,2,0,0,0,0,直销
2026-07-27,2026-08-02,西部,NM-H013,NMX-02,1,98000,0.07,91100,91100,74000,3,3,3,1,0,直销
2026-07-27,2026-08-02,西部,NM-H014,NMX-01,0,240000,0.12,211200,0,73000,2,2,1,0,0,直销
2026-07-27,2026-08-02,西部,NM-H014,NMX-02,1,98000,0.1,88200,88200,60000,3,3,3,1,0,合作伙伴
2026-07-27,2026-08-02,西部,NM-H015,NMX-01,0,240000,0.11,213600,0,73000,2,2,1,0,0,合作伙伴
2026-07-27,2026-08-02,西部,NM-H015,NMX-02,0,98000,0.1,88200,0,60000,4,3,2,0,0,直销
2026-07-27,2026-08-02,西部,NM-H016,NMX-01,1,240000,0.13,208800,208800,58000,4,1,1,1,0,合作伙伴
2026-07-27,2026-08-02,西部,NM-H016,NMX-02,1,98000,0.12,86200,86200,48000,5,3,3,1,0,合作伙伴
2026-08-03,2026-08-09,华东,NM-H001,NMX-01,0,240000,0.08,220800,0,194000,4,4,2,0,0,直销
2026-08-03,2026-08-09,华东,NM-H001,NMX-02,2,98000,0.06,92100,184200,126000,6,4,2,1,0,直销
2026-08-03,2026-08-09,华东,NM-H002,NMX-01,0,240000,0.08,220800,0,194000,5,2,0,0,0,直销
2026-08-03,2026-08-09,华东,NM-H002,NMX-02,1,98000,0.07,91100,91100,126000,4,3,1,1,0,直销
2026-08-03,2026-08-09,华东,NM-H003,NMX-01,0,240000,0.1,216000,0,159000,3,0,0,0,0,直销
2026-08-03,2026-08-09,华东,NM-H003,NMX-02,1,98000,0.1,88200,88200,103000,6,4,3,1,0,直销
2026-08-03,2026-08-09,华东,NM-H004,NMX-01,1,240000,0.1,216000,216000,159000,4,1,1,1,0,直销
2026-08-03,2026-08-09,华东,NM-H004,NMX-02,1,98000,0.09,89200,89200,103000,6,2,2,1,0,直销
2026-08-03,2026-08-09,华北,NM-H005,NMX-01,1,240000,0.09,218400,218400,166000,3,3,3,1,0,直销
2026-08-03,2026-08-09,华北,NM-H005,NMX-02,1,98000,0.07,91100,91100,107000,5,3,1,1,0,直销
2026-08-03,2026-08-09,华北,NM-H006,NMX-01,1,240000,0.09,218400,218400,166000,3,3,3,1,0,直销
2026-08-03,2026-08-09,华北,NM-H006,NMX-02,1,98000,0.06,92100,92100,107000,5,2,1,1,0,直销
2026-08-03,2026-08-09,华北,NM-H007,NMX-01,0,240000,0.09,218400,0,135000,4,4,2,0,0,直销
2026-08-03,2026-08-09,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,88000,3,3,3,1,0,直销
2026-08-03,2026-08-09,华北,NM-H008,NMX-01,1,240000,0.11,213600,213600,108000,3,3,3,1,0,合作伙伴
2026-08-03,2026-08-09,华北,NM-H008,NMX-02,0,98000,0.11,87200,0,70000,4,0,0,0,0,合作伙伴
2026-08-03,2026-08-09,华南,NM-H009,NMX-01,1,240000,0.08,220800,220800,150000,3,2,2,1,0,直销
2026-08-03,2026-08-09,华南,NM-H009,NMX-02,1,98000,0.06,92100,92100,97000,4,2,2,1,0,直销
2026-08-03,2026-08-09,华南,NM-H010,NMX-01,0,240000,0.08,220800,0,150000,3,2,0,0,0,直销
2026-08-03,2026-08-09,华南,NM-H010,NMX-02,1,98000,0.08,90200,90200,97000,6,3,3,1,0,直销
2026-08-03,2026-08-09,华南,NM-H011,NMX-01,0,240000,0.11,213600,0,122000,5,0,0,0,0,直销
2026-08-03,2026-08-09,华南,NM-H011,NMX-02,1,98000,0.09,89200,89200,79000,3,3,3,1,0,直销
2026-08-03,2026-08-09,华南,NM-H012,NMX-01,1,240000,0.13,208800,208800,97000,2,2,2,1,0,合作伙伴
2026-08-03,2026-08-09,华南,NM-H012,NMX-02,1,98000,0.11,87200,87200,63000,3,3,3,1,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H013,NMX-01,0,240000,0.09,218400,0,94000,2,2,2,0,0,直销
2026-08-03,2026-08-09,西部,NM-H013,NMX-02,1,98000,0.08,90200,90200,78000,3,3,1,1,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H014,NMX-01,0,240000,0.11,213600,0,77000,4,2,2,0,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H014,NMX-02,1,98000,0.1,88200,88200,64000,5,3,2,1,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H015,NMX-01,0,240000,0.11,213600,0,77000,2,2,1,0,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H015,NMX-02,1,98000,0.09,89200,89200,64000,5,5,3,1,0,合作伙伴
2026-08-03,2026-08-09,西部,NM-H016,NMX-01,1,240000,0.13,208800,208800,61000,2,2,2,1,0,直销
2026-08-03,2026-08-09,西部,NM-H016,NMX-02,0,98000,0.13,85300,0,51000,4,2,1,0,0,直销
2026-08-10,2026-08-16,华东,NM-H001,NMX-01,1,240000,0.07,223200,223200,207000,3,1,1,1,0,直销
2026-08-10,2026-08-16,华东,NM-H001,NMX-02,2,98000,0.07,91100,182200,134000,7,4,3,1,0,直销
2026-08-10,2026-08-16,华东,NM-H002,NMX-01,1,240000,0.09,218400,218400,207000,4,4,3,1,0,直销
2026-08-10,2026-08-16,华东,NM-H002,NMX-02,1,98000,0.08,90200,90200,134000,6,5,3,1,0,直销
2026-08-10,2026-08-16,华东,NM-H003,NMX-01,1,240000,0.1,216000,216000,169000,4,3,2,1,0,直销
2026-08-10,2026-08-16,华东,NM-H003,NMX-02,1,98000,0.09,89200,89200,110000,6,1,1,1,0,直销
2026-08-10,2026-08-16,华东,NM-H004,NMX-01,0,240000,0.1,216000,0,169000,3,3,2,0,0,直销
2026-08-10,2026-08-16,华东,NM-H004,NMX-02,1,98000,0.1,88200,88200,110000,5,1,1,1,0,直销
2026-08-10,2026-08-16,华北,NM-H005,NMX-01,1,240000,0.08,220800,220800,177000,4,3,1,1,0,直销
2026-08-10,2026-08-16,华北,NM-H005,NMX-02,1,98000,0.07,91100,91100,114000,4,1,1,1,0,直销
2026-08-10,2026-08-16,华北,NM-H006,NMX-01,0,240000,0.09,218400,0,177000,5,3,1,0,0,直销
2026-08-10,2026-08-16,华北,NM-H006,NMX-02,1,98000,0.07,91100,91100,114000,4,4,3,1,0,直销
2026-08-10,2026-08-16,华北,NM-H007,NMX-01,1,240000,0.1,216000,216000,144000,5,4,2,1,0,直销
2026-08-10,2026-08-16,华北,NM-H007,NMX-02,1,98000,0.09,89200,89200,93000,5,3,3,1,0,直销
2026-08-10,2026-08-16,华北,NM-H008,NMX-01,0,240000,0.11,213600,0,115000,3,1,1,0,0,合作伙伴
2026-08-10,2026-08-16,华北,NM-H008,NMX-02,1,98000,0.12,86200,86200,74000,5,5,3,1,0,合作伙伴
2026-08-10,2026-08-16,华南,NM-H009,NMX-01,1,240000,0.08,220800,220800,160000,3,3,2,1,0,直销
2026-08-10,2026-08-16,华南,NM-H009,NMX-02,2,98000,0.06,92100,184200,126000,5,2,2,1,0,直销
2026-08-10,2026-08-16,华南,NM-H010,NMX-01,0,240000,0.08,220800,0,160000,3,1,0,0,0,直销
2026-08-10,2026-08-16,华南,NM-H010,NMX-02,2,98000,0.07,91100,182200,126000,4,2,1,1,0,直销
2026-08-10,2026-08-16,华南,NM-H011,NMX-01,0,240000,0.1,216000,0,130000,4,2,2,0,0,直销
2026-08-10,2026-08-16,华南,NM-H011,NMX-02,1,98000,0.08,90200,90200,103000,4,3,3,1,0,直销
2026-08-10,2026-08-16,华南,NM-H012,NMX-01,1,240000,0.12,211200,211200,104000,4,2,1,1,0,直销
2026-08-10,2026-08-16,华南,NM-H012,NMX-02,1,98000,0.11,87200,87200,82000,4,4,3,1,0,直销
2026-08-10,2026-08-16,西部,NM-H013,NMX-01,1,240000,0.08,220800,220800,101000,2,2,2,1,0,直销
2026-08-10,2026-08-16,西部,NM-H013,NMX-02,1,98000,0.08,90200,90200,84000,3,2,1,1,0,合作伙伴
2026-08-10,2026-08-16,西部,NM-H014,NMX-01,1,240000,0.11,213600,213600,82000,3,3,3,1,0,合作伙伴
2026-08-10,2026-08-16,西部,NM-H014,NMX-02,1,98000,0.1,88200,88200,68000,4,4,3,1,0,合作伙伴
2026-08-10,2026-08-16,西部,NM-H015,NMX-01,1,240000,0.1,216000,216000,82000,2,2,2,1,0,直销
2026-08-10,2026-08-16,西部,NM-H015,NMX-02,1,98000,0.09,89200,89200,68000,3,2,1,1,0,合作伙伴
2026-08-10,2026-08-16,西部,NM-H016,NMX-01,0,240000,0.13,208800,0,65000,3,2,1,0,0,合作伙伴
2026-08-10,2026-08-16,西部,NM-H016,NMX-02,1,98000,0.11,87200,87200,54000,5,2,2,1,0,直销
2026-08-17,2026-08-23,华东,NM-H001,NMX-01,1,240000,0.08,220800,220800,222000,6,2,2,1,0,直销
2026-08-17,2026-08-23,华东,NM-H001,NMX-02,2,98000,0.08,90200,180400,144000,5,4,2,1,0,直销
2026-08-17,2026-08-23,华东,NM-H002,NMX-01,1,240000,0.09,218400,218400,222000,4,4,3,1,0,直销
2026-08-17,2026-08-23,华东,NM-H002,NMX-02,1,98000,0.06,92100,92100,144000,6,5,3,1,0,直销
2026-08-17,2026-08-23,华东,NM-H003,NMX-01,1,240000,0.1,216000,216000,181000,5,1,1,1,0,直销
2026-08-17,2026-08-23,华东,NM-H003,NMX-02,1,98000,0.08,90200,90200,117000,6,2,2,1,0,直销
2026-08-17,2026-08-23,华东,NM-H004,NMX-01,0,240000,0.11,213600,0,181000,4,2,2,0,0,直销
2026-08-17,2026-08-23,华东,NM-H004,NMX-02,1,98000,0.09,89200,89200,117000,5,3,3,1,0,直销
2026-08-17,2026-08-23,华北,NM-H005,NMX-01,1,240000,0.09,218400,218400,189000,5,2,2,1,0,直销
2026-08-17,2026-08-23,华北,NM-H005,NMX-02,1,98000,0.07,91100,91100,123000,6,1,1,1,0,直销
2026-08-17,2026-08-23,华北,NM-H006,NMX-01,1,240000,0.08,220800,220800,189000,3,3,3,1,0,直销
2026-08-17,2026-08-23,华北,NM-H006,NMX-02,2,98000,0.06,92100,184200,123000,6,4,3,1,0,直销
2026-08-17,2026-08-23,华北,NM-H007,NMX-01,1,240000,0.1,216000,216000,154000,4,2,1,1,0,直销
2026-08-17,2026-08-23,华北,NM-H007,NMX-02,1,98000,0.08,90200,90200,100000,6,4,2,1,0,直销
2026-08-17,2026-08-23,华北,NM-H008,NMX-01,1,240000,0.12,211200,211200,123000,3,1,1,1,0,合作伙伴
2026-08-17,2026-08-23,华北,NM-H008,NMX-02,1,98000,0.1,88200,88200,80000,3,3,3,1,0,合作伙伴
2026-08-17,2026-08-23,华南,NM-H009,NMX-01,1,240000,0.09,218400,218400,171000,3,3,2,1,0,直销
2026-08-17,2026-08-23,华南,NM-H009,NMX-02,1,98000,0.08,90200,90200,135000,7,2,1,1,0,直销
2026-08-17,2026-08-23,华南,NM-H010,NMX-01,1,240000,0.08,220800,220800,171000,3,1,1,1,0,直销
2026-08-17,2026-08-23,华南,NM-H010,NMX-02,1,98000,0.08,90200,90200,135000,6,2,1,1,0,直销
2026-08-17,2026-08-23,华南,NM-H011,NMX-01,1,240000,0.09,218400,218400,140000,5,2,1,1,0,直销
2026-08-17,2026-08-23,华南,NM-H011,NMX-02,1,98000,0.08,90200,90200,110000,6,3,2,1,0,直销
2026-08-17,2026-08-23,华南,NM-H012,NMX-01,1,240000,0.12,211200,211200,111000,3,3,3,1,0,合作伙伴
2026-08-17,2026-08-23,华南,NM-H012,NMX-02,1,98000,0.12,86200,86200,88000,4,4,2,1,0,合作伙伴
2026-08-17,2026-08-23,西部,NM-H013,NMX-01,0,240000,0.1,216000,0,108000,4,1,1,0,1,合作伙伴
2026-08-17,2026-08-23,西部,NM-H013,NMX-02,1,98000,0.08,90200,90200,90000,4,4,3,1,0,直销
2026-08-17,2026-08-23,西部,NM-H014,NMX-01,0,240000,0.12,211200,0,88000,2,2,0,0,0,合作伙伴
2026-08-17,2026-08-23,西部,NM-H014,NMX-02,1,98000,0.09,89200,89200,73000,3,3,2,1,0,合作伙伴
2026-08-17,2026-08-23,西部,NM-H015,NMX-01,1,240000,0.12,211200,211200,88000,2,2,2,1,0,直销
2026-08-17,2026-08-23,西部,NM-H015,NMX-02,1,98000,0.11,87200,87200,73000,4,2,2,1,0,合作伙伴
2026-08-17,2026-08-23,西部,NM-H016,NMX-01,0,240000,0.13,208800,0,70000,3,1,0,0,0,合作伙伴
2026-08-17,2026-08-23,西部,NM-H016,NMX-02,1,98000,0.12,86200,86200,58000,5,3,1,1,0,合作伙伴
2026-08-24,2026-08-30,华东,NM-H001,NMX-01,1,240000,0.09,218400,218400,237000,6,3,3,1,0,直销
2026-08-24,2026-08-30,华东,NM-H001,NMX-02,2,98000,0.08,90200,180400,153000,6,1,1,1,0,直销
2026-08-24,2026-08-30,华东,NM-H002,NMX-01,1,240000,0.08,220800,220800,237000,4,1,1,1,0,直销
